Nit;Fecha Corte;Duracion;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Ingresos financieros;Costos financieros;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
800163322;31/12/2016;2016;9974545;5950251;4024294;188055;1387358;1344530;37060;559240;2002641;348889;752207;1599323;923453;675870;;675870
860536024;31/12/2016;2016;8567679;5869814;2697865;78080;1618680;863215;232632;;61418;;;61418;72050;-10632;;-10632
805014222;31/12/2016;2016;23261179;15820541;7440638;94297;3456274;1396076;165398;;2517187;557077;584676;2489588;1272946;1216642;;1216642
830043325;31/12/2016;2016;12249078;6984794;5264284;0;2985890;1502084;;;776310;151418;703262;224466;179621;44845;;44845
900363738;31/12/2016;2016;5127895;4915806;212089;662;;29318;;;183433;;10366;173067;69587;103480;;103480
860509527;31/12/2016;2016;13271417;6645433;6625984;0;0;3335554;85414;0;3205016;833795;9324;4029487;997766;3031721;0;3031721
900684920;31/12/2016;2016;10702;;10702;0;;28919;3533;;-21750;;;-21750;29152;-50902;;-50902
900597150;31/12/2016;2016;1618117;20091;1598026;183;0;973547;180946;0;443716;0;0;443716;167016;276700;0;276700
860001128;31/12/2016;2016;10249213;6774230;3474983;36108;1137036;1061974;93849;;1218232;20240;1078466;160006;45000;115006;;115006
900345978;31/12/2016;2016;99923;0;99923;0;0;1707;373;0;97843;0;0;97843;1189;96654;0;96654
805001030;31/12/2016;2016;2280509;0;2280509;25101;0;1700472;336117;0;269021;0;0;269021;93777;175244;0;175244
860001130;31/12/2016;2016;11887897;6668113;5219784;795694;2882667;1417927;965911;;748973;;;748973;308144;440829;;440829
830065427;31/12/2016;2016;3127715;2117164;1010551;5477;325024;491370;4990;0;194644;16254;28750;182148;97723;84425;0;84425
890930022;31/12/2016;2016;119786678;113409903;6376775;378508;961282;3047442;0;0;2746559;0;1406129;1340430;541917;798513;0;798513
900167829;31/12/2016;2016;4733722;3891655;842067;41055;70831;303372;10130;;498789;8630;31286;476133;53108;423025;;423025
800101425;31/12/2016;2016;4598699;3327207;1271492;249708;1067588;461860;86075;282227;187904;19059;;206963;38848;168115;;168115
830095924;31/12/2016;2016;653529;;653529;273341;;391361;416349;;119160;;;119160;14840;104320;;104320
860076921;31/12/2016;2016;1357371;685676;671695;12674;229750;615592;10043;;-171016;162777;92205;-100444;120367;-220811;0;-220811
830114721;31/12/2016;2016;26889156;20853294;6035862;557673;2874878;1774526;51237;0;1892894;1206473;1976847;1122520;305005;817515;0;817515
860009522;31/12/2016;2016;589556;398786;190770;383289;;500387;45155;;28517;;;28517;22314;6203;;6203
830091939;31/12/2016;2016;6414958;3503996;2910962;7496;1866545;;;;1051913;14413;160449;905877;391831;514046;;514046
900530020;31/12/2016;2016;9452623;6230552;3222071;2247974;449695;1960988;3010119;;49243;;;49243;;49243;;49243
830504323;31/12/2016;2016;1945297;1607706;337591;12818;;181826;43779;;124804;31;75713;49122;41696;7426;;7426
800208318;31/12/2016;2016;3701502;;3701502;124797;2593713;986688;70997;;174901;31307;59380;146828;64605;82223;;82223
890203580;31/12/2016;2016;14276973;4283391;9993582;209191;3155080;4535400;101688;;2410605;;112565;2298040;1047601;1250439;;1250439
900403825;31/12/2016;2016;1344557;;1344557;45177;;819967;52815;;516952;;;516952;157259;359693;;359693
830092535;31/12/2016;2016;2194080;;2194080;67;;2239950;55493;;-101296;;;-101296;4083;-105379;;-105379
830065206;31/12/2016;2016;9931914;7737091;2194823;6293848;2399637;461471;3899964;;1727599;;;1727599;153784;1573815;;1573815
900403523;31/12/2016;2016;0;;0;64;;1543;860318;;-861797;;;-861797;1930;-863727;;-863727
890308122;31/12/2016;2016;391181;54374;336807;138359;;333421;1960;;139785;;17180;122605;15149;107456;;107456
900038222;31/12/2016;2016;9026438;5354507;3671931;0;1115550;1002475;0;0;1553906;0;173846;1380060;526885;853175;0;853175
830009027;31/12/2016;2016;3337395;2498054;839341;7557;63040;453503;;;330355;950;104692;226613;67481;159132;;159132
812005811;31/12/2016;2016;1832267;;1832267;362263;;1699913;4435;;490182;;;490182;171882;318300;;318300
900157534;31/12/2016;2016;14259672;6819673;7439999;168353;947521;1101735;17626;;5541470;521570;286124;5776916;2287553;3489363;;3489363
900558623;31/12/2016;2016;7201096;4890664;2310432;146407;4919002;3027352;589789;;-6079304;;348433;-6427737;;-6427737;;-6427737
900360228;31/12/2016;2016;692931;136964;555967;1919;;462353;35213;;60320;;;60320;;60320;;60320
900061224;31/12/2016;2016;232636636;205347960;27288676;431430;17716147;3896297;84854;660930;6683738;241142;534960;6389920;2448434;3941486;;3941486
900124437;31/12/2016;2016;439431;;439431;6677;;326770;16788;;102550;;;102550;36132;66418;;66418
800220021;31/12/2016;2016;5538650;768853;4769797;0;1850438;1991876;0;;927483;74980;472571;529892;306669;223223;;223223
900750825;31/12/2016;2016;15000;;15000;37049;;284565;;;-232516;;;-232516;9692;-242208;;-242208
890333028;31/12/2016;2016;290755;;290755;0;;10984;;;279771;;8;279763;2340;277423;;277423
900224045;31/12/2016;2016;15965;3592;12373;0;;6433;5715;;225;2;76;151;121;30;;30
860090026;31/12/2016;2016;5200333;4950853;249480;97149;;;;;346629;6246;48;352827;128392;224435;0;224435
900409419;31/12/2016;2016;3540986;1074041;2466945;645956;1989700;873859;89579;;159763;;79145;80618;64908;15710;;15710
800187738;31/12/2016;2016;4716699;3672966;1043733;113378;0;260888;49649;0;846574;12246;388991;469829;161921;307908;0;307908
900524531;31/12/2016;2016;9593781;7221329;2372452;326524;712035;557435;0;0;1429506;16290;381389;1064407;954565;109842;0;109842
900527125;31/12/2016;2016;129814;;129814;0;;309386;63022;;-242594;;1635;-244229;;-244229;;-244229
827000723;31/12/2016;2016;7574049;6276154;1297895;189142;152513;598654;;;735870;342618;852615;225873;;225873;;225873
811015832;31/12/2016;2016;2390450;1346809;1043641;33068;;880482;;;196227;52947;90774;158400;59345;99055;;99055
860525721;31/12/2016;2016;522951;;522951;12701;;117194;;;418458;;994;417464;142845;274619;;274619
860023029;31/12/2016;2016;301035;;301035;5036718;;919297;3084;;4415372;;;4415372;202707;4212665;;4212665
900781407;31/12/2016;2016;895226;0;895226;1704;523595;340359;6765;0;26211;1172;24556;2827;1719;1108;0;1108
900595623;31/12/2016;2016;655489;444679;210810;40165;135479;87967;0;-2751;24778;628421;599343;53856;18810;35046;;35046
900546904;31/12/2016;2016;1151794;1097429;54365;65828;;;6471;;113722;;59280;54442;66409;-11967;;-11967
