NIT;FECHA CORTE;DURACION;(+/-) Ganancia (pérdida);(+/-) Ajustes por gastos por impuestos a las ganancias;( + ) Ajustes por gastos de depreciación y amortización;(+/-) Ajustes por deterioro de valor (reversiones de pérdidas por deterioro de valor) reconocidas en el resultado del periodo;(+) Ajustes por provisiones;(+) Ajustes por costos financieros;(+/-) Ajustes por pérdidas (ganancias) de moneda extranjera no realizadas;(+/-) Ajustes por pérdidas (ganancias) del valor razonable;(-) Ajustes por ganancias no distribuidas de asociadas;(+/-) Ajustes por pérdidas (ganancias) por la disposición de activos no corrientes;(+/-) Otros ajustes para conciliar la ganancia (pérdida);Total ajustes para conciliar la ganancia (pérdida);(+/-) Ajustes por disminuciones (incrementos) en los inventarios;(+/-) Ajustes por la disminución (incremento) de cuentas por cobrar de origen comercial;(+/-) Ajustes por disminuciones (incrementos) en otras cuentas por cobrar derivadas de las actividades de operación;(+/-) Ajustes por el incremento (disminución) de cuentas por pagar de origen comercial;(+/-) Ajustes por incrementos (disminuciones) en otras cuentas por pagar derivadas de las actividades de operación;(+/-) Otras entradas (salidas) de efectivo;Flujos de efectivo netos procedentes de (utilizados en) actividades de operación;(+) Flujos de efectivo procedentes de la pérdida de control de subsidiarias u otros negocios;(-) Flujos de efectivo utilizados para obtener el control de subsidiarias u otros negocios;(+) Otros cobros por la venta de patrimonio o instrumentos de deuda de otras entidades;(-) Otros pagos para adquirir patrimonio o instrumentos de deuda de otras entidades;(+) Otros cobros por la venta de participaciones en negocios conjuntos;(-) Otros pagos para adquirir participaciones en negocios conjuntos;(+) Importes procedentes de la venta de propiedades, planta y equipo;(-) Compras de propiedades, planta y equipo;(+) Importes procedentes de ventas de activos intangibles;(-) Compras de activos intangibles;(+) Recursos por ventas de otros activos a largo plazo;(-) Compras de otros activos a largo plazo;(-) Pagos derivados de contratos de futuro, a término, de opciones y de permuta financiera;(+) Cobros procedentes de contratos de futuro, a término, de opciones y de permuta financiera;(+) Dividendos recibidos;(+) Intereses recibidos;(+/-) Otras entradas (salidas) de efectivo;Flujos de efectivo netos procedentes de (utilizados en) actividades de inversión;(+) Importes procedentes de aumento de capital y/o recolocación de acciones;(-) Disminución de capital social y/o readquisición de acciones;(-) Pagos por otras participaciones en el patrimonio;(+) Importe procedente del aumento prima por emisión;(-) Disminución de prima por emisión;(+) Importes procedentes de préstamos;(-) Reembolsos de préstamos;(-) Pagos de pasivos por arrendamientos financieros;(-) Dividendos pagados;(-) Intereses pagados;(+/-) Otras entradas (salidas) de efectivo;Flujos de efectivo netos procedentes de (utilizados en) actividades de financiación;Incremento (disminución) neto de efectivo y equivalentes al efectivo, antes del efecto de los cambios en la tasa de cambio;(+/-) Efectos de la variación en la tasa de cambio sobre el efectivo y equivalentes al efectivo;Incremento (disminución) neto de efectivo y equivalentes al efectivo;Efectivo y equivalentes al efectivo al principio del periodo;Efectivo y equivalentes al efectivo al final del periodo
800004816;31/12/2016;2016;-3912;-420;;;;;;;;;;-420;;4;;4993;;-665;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;701;701
800004865;31/12/2016;2016;261009;;210360;6411;;;;;;25271;-1157;240885;-1421293;164674;-58271;490736;-332990;;-655250;;;;;;;92445;459009;;;;7875;;;;;67310;-307129;;;;;;1061589;5762;;;;;1055827;93448;;93448;28749;122197
800005009;31/12/2016;2016;186513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
800005311;31/12/2016;2016;1471889;861730;226730;38707;0;0;0;16;0;-1772;0;1125411;-52944;-422800;0;-216296;-383714;0;1521546;0;0;0;0;0;0;0;1995561;0;0;0;0;0;0;0;0;0;-1995561;0;0;0;0;0;812463;0;0;327000;0;3799;489262;15247;0;15247;301531;316778
800005423;31/12/2016;2016;396913;429657;200850;0;0;0;0;0;0;0;0;630507;99072;;38716;380487;29595;;1575290;;;;0;;;;2339960;0;0;;;;;;;;-2339960;;;;;;4442210;2780507;;200000;;;1461703;697033;;697033;2574541;3271574
800005591;31/12/2016;2016;61343;0;77774;0;88091;0;0;0;0;;0;165865;0;85550;-139264;99230;-31979;0;240745;0;0;0;0;0;0;431653;0;0;0;0;0;0;0;0;0;203916;635569;0;769299;0;0;0;29915;0;0;100356;0;0;-839740;36574;0;36574;70125;106699
800005736;31/12/2016;2016;1939579;0;642424;0;61460;0;0;-6626;0;0;-178498;518760;-1493926;;-860098;0;3870129;-1674606;2299838;0;0;0;0;0;0;0;229720;0;4625;0;0;0;0;0;0;0;-234345;0;0;0;0;0;0;91924;0;1900000;0;0;-1991924;73569;0;73569;441689;515258
800005751;31/12/2016;2016;456916;368299;137032;;;;;;;-400;-75236;429695;453287;458829;216309;-1335667;-204843;-21155;453371;;;;;;;;12748;;28732;;;;;;;;-41480;;;;;;;45566;;;;;-45566;366325;;366325;293057;659382
800006286;31/12/2016;2016;802453;0;361951;6337;0;0;0;0;0;0;-14530;353758;96772;-1256;-378070;-344832;102383;0;631208;0;0;0;0;0;0;4839;256146;0;0;0;0;0;0;0;0;0;-251307;0;0;0;0;0;0;242284;0;0;0;0;-242284;137617;0;137617;169305;306922
800006332;31/12/2016;2016;344832;;243935;;1240;;;-2110000;;;143212;-1721613;-374300;2052153;;11325;-43571;377064;645890;;;;;;;;31495;;;;;;;;;-95033;-126528;770667;;;;770667;;;;310730;;;-310730;208632;;208632;101000;309632
800006583;31/12/2016;2016;4036569;440937;1834740;610303;240298;;;;;;;3126278;2654171;-2723000;;1111808;-489845;;7715981;;;;;;;;2575132;;;;;;;;;6607;-2568525;;;;;;616594;;;1275000;;;-658406;4489050;;4489050;10450339;14939389
800006608;31/12/2016;2016;1168794;993096;79696;0;0;435546;0;0;0;0;0;1508338;6438618;4399932;0;-427138;-39691;-11912855;1135998;0;0;0;0;0;0;0;3003730;0;0;0;0;0;0;0;0;0;-3003730;0;0;0;0;0;2108343;0;0;0;0;0;2108343;240611;0;240611;814920;1055531
800006785;31/12/2016;2016;1471783;1020678;;506;;21587;;;;;;1042771;98319;-365883;;-67715;-1828094;-736078;-384897;;;;;;;;91258;;;;;;;;;;-91258;;;;;;;;;;;;;-476155;;-476155;1993739;1517584
800006911;31/12/2016;2016;1237746;;1276924;;875580;;;;;;;2152504;-242773;819746;-6205;-666574;-787615;;2506829;;;;;;;;1058056;;;3736;;;;;;;-1054320;;;;;;;;;299940;;;-299940;1152569;;1152569;3590237;4742806
800006962;31/12/2016;2016;-12541;;118115;;;;;;;;;118115;;-314297;;736000;-306594;9696;230379;;;;;;;;;;;;;141026;;;;;-141026;;;;;;;;;;;;;89353;;89353;125535;214888
800007113;31/12/2016;2016;12750;;;;;;;;;;;;;-89048;-24051;-4236;;;-104585;;;;;;;;;;220000;;;;;;;;-220000;;;;;;314333;;;;;;314333;-10252;;-10252;15622;5370
800007122;31/12/2016;2016;682281;569003;227275;157006;;;;;;-79670;;873614;-905316;-1571852;-73457;1009195;100505;;114970;;;;;;;1825645;1935739;;;;;;;;;;-110094;;;;;;;;;;;;;4876;;4876;470918;475794
800007208;31/12/2016;2016;487601;0;32694;0;0;0;0;0;0;0;0;32694;0;0;543429;1791490;0;413846;3269060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2879198;-2879198;389862;0;389862;207467;597329
800007238;31/12/2016;2016;101156;93230;19688;82674;;;;;;;;195592;125469;-233570;50846;40880;69495;;349868;;;;;;;;53425;;;;;;;;;;-53425;;;;;;3248;;;;;-196678;-193430;103013;;103013;757578;860591
800007287;31/12/2016;2016;167176;;114866;;;;0;;;;;114866;28000;0;-250093;-244823;471571;6363;293060;;;;;;;106583;;;;;;;;;0;-310340;-203757;;;;;;;;;;;;;89303;;89303;37900;127203
800007310;31/12/2016;2016;144940;-135042;78156;;;;;;;;;-56886;-130714;-162820;-50;-268254;704932;-384687;-153539;;;;;;;;64664;;;;;;;;;;-64664;;;;;;176129;;;;;;176129;-42074;;-42074;143308;101234
800007350;31/12/2016;2016;356052;;23080;;;;;;;;;23080;-286751;586955;-100000;389066;;0;968402;;;;;;;;13920;;;;;;;;;;-13920;;;;;;;;;170251;;2727;-167524;786958;;786958;187830;974788
800007355;31/12/2016;2016;851660;;70144;;;;;;;;;70144;897200;174125;;-717065;-58508;-101445;1116111;;;;;;;;91288;;;;;;;;;;-91288;;;;;;;;;;;-1026629;-1026629;-1806;;-1806;94535;92729
800007367;31/12/2016;2016;1458880;-20486;469500;;;;;;;;;449014;;2617461;-2569421;-914582;-1539906;646826;148272;;;;;;;;59514;;6508;;140000;;;;;;-206022;;;;;;;;;;;;;-57750;;-57750;3589460;3531710
