Nit;Fecha Corte;Duracion;Ganancia (pérdida);Otro resultado integral, neto de impuestos, ganancias (pérdidas) por revaluación;Total otro resultado integral que no se reclasificará al resultado del periodo, neto de impuestos;Total otro resultado integral;Resultado integral total;Otro resultado integral, neto de impuestos, diferencias de cambio por conversión;Otro resultado integral, neto de impuestos, ganancias (pérdidas) actuariales por planes de beneficios definidos;Ganancias (pérdidas) por coberturas de flujos de efectivo, neto de impuestos;Total otro resultado integral que se reclasificará al resultado del periodo, neto de impuestos
800024130;31/12/2016;2016;-60803;;;;;;;;
800024224;31/12/2016;2016;81049;0;0;0;81049;0;0;0;0
800024389;31/12/2016;2016;333782;;;;;;;;
800024486;31/12/2016;2016;186473;;;;186473;;;;
800024524;31/12/2016;2016;458668;0;0;0;458668;0;0;0;0
800024557;31/12/2016;2016;516213;;;;;;;;
800024711;31/12/2016;2016;997030;513622;513622;513622;1510652;;;;
800024873;31/12/2016;2016;79288;0;0;0;79288;0;0;0;0
800024970;31/12/2016;2016;997436;45868;45868;45868;1043304;;;;
800025208;31/12/2016;2016;4425;;;;;;;;
800025379;31/12/2016;2016;1473838;;;;;;;;
800025435;31/12/2016;2016;396344;;;;396344;;;;
800025696;31/12/2016;2016;297900;-13673;-13673;-13673;284227;0;0;;
800025698;31/12/2016;2016;73227;;;;;;;;
800026030;31/12/2016;2016;764888;;;;;;;;
800026042;31/12/2016;2016;151261;;;;;;;;
800026124;31/12/2016;2016;1096520;;;;;;;;
800026208;31/12/2016;2016;101593;0;0;0;101593;0;0;0;0
800026339;31/12/2016;2016;873931;;;;;;;;
800026404;31/12/2016;2016;954328;0;0;0;954328;0;0;0;0
800026452;31/12/2016;2016;1178262;;;;;;;;
800026483;31/12/2016;2016;110968;0;0;0;110968;0;0;0;0
800026828;31/12/2016;2016;-514925;-199850;-199850;-199850;-714775;;;;
800026893;31/12/2016;2016;142918;;;;;;;;
800026914;31/12/2016;2016;664454;;38752;38752;703206;38752;;;
800026934;31/12/2016;2016;-254602;;;;;;;;
